route_id,route_short_name,route_long_name,route_type
070,070,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE) - SAO PAULO (FABRICA TROL),3
073,073,GUARULHOS (NOVA BONSUCESSO) - SAO PAULO (SAO MIGUEL PAULISTA),3
075,075,ARUJA (PARQUE RODRIGO BARRETO) - SAO PAULO (SAO MIGUEL PAULISTA),3
076,076,ITAQUAQUECETUBA (TERMINAL URBANO ENGENHEIRO MANOEL FEIO) - SAO PAULO (METRO BRAS),3
077,077,GUARULHOS (VILA ANY) - SAO PAULO (METRO BRAS),3
078,078,EMBU DAS ARTES (PARQUE PIRAJUSSARA) - SAO PAULO (METRO VILA SONIA),3
079,079,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - SAO PAULO (METRO VILA SONIA),3
080,080,OSASCO (JARDIM BONANCA) - SAO PAULO (PINHEIROS),3
082,082,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS) - OSASCO (VILA YARA),3
082BI1,082BI1,PIRAPORA DO BOM JESUS (IGAVETA) - OSASCO (VILA YARA),3
082DV1,082DV1,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS) - OSASCO (VILA YARA),3
084,084,FRANCO DA ROCHA (PARQUE VITORIA) - FRANCISCO MORATO (CENTRO),3
085,085,SANTANA DE PARNAIBA (PARQUE SANTANA) - SAO PAULO (LAPA),3
085VP1,085VP1,SANTANA DE PARNAIBA (PARQUE SANTANA) - OSASCO (ESTACAO),3
086,086,OSASCO (JARDIM VELOSO) - SAO PAULO (LAPA),3
086PR1,086PR1,CARAPICUIBA (PARQUE JANDAIA) - SAO PAULO (LAPA),3
087,087,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE) - SAO PAULO (METRO ITAQUERA),3
088,088,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL) - SAO PAULO (ESTACAO CPTM  ITAIM PAULISTA),3
089,089,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - SAO PAULO (METRO VILA SONIA),3
090,090,EMBU DAS ARTES (TERMINAL CASA BRANCA) - SAO PAULO (METRO VILA SONIA),3
093,093,GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO) - SAO PAULO (METRO CARRAO),3
094,094,GUARULHOS (COCAIA) - SAO PAULO (PENHA),3
095,095,GUARULHOS (TERMINAL METROPOLITANO TABOAO) - SAO PAULO (METRO BRAS),3
096,096,GUARULHOS (HAROLDO VELOSO) - SAO PAULO (METRO BRAS),3
100,100,GUARULHOS (PARQUE PRIMAVERA) - SAO PAULO (PENHA),3
100BI1,100BI1,GUARULHOS (JARDIM DOS EUCALIPTOS) - SAO PAULO (PENHA),3
101,101,SAO CAETANO DO SUL (VILA PROSPERIDADE) - SAO PAULO (VILA DAS OLARIAS),3
102,102,SAO CAETANO DO SUL (BAIRRO FUNDACAO) - SAO PAULO (IV CENTENARIO),3
103,103,GUARULHOS (PARQUE CONTINENTAL) - SAO PAULO (METRO PARADA INGLESA),3
104,104,GUARULHOS (BOM CLIMA) - SAO PAULO (METRO TUCURUVI),3
105,105,GUARULHOS (JARDIM MOREIRA) - SAO PAULO (METRO TUCURUVI),3
107,107,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE) - SAO PAULO (JARDIM ESTHER),3
110,110,GUARULHOS (COCAIA) - SAO PAULO (METRO TUCURUVI),3
111,111,GUARULHOS (JARDIM LEDA) - SAO PAULO (METRO PARADA INGLESA),3
112,112,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA) - SAO PAULO (SANTO AMARO),3
113,113,OSASCO (JARDIM SANTA FE) - SAO PAULO (LAPA),3
114,114,FERRAZ DE VASCONCELOS (PARQUE SAO FRANCISCO) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
115,115,ARUJA (CENTRO) - GUARULHOS (JARDIM SANTA MENA),3
116,116,BARUERI (CENTRO) - SAO PAULO (METRO ARMENIA),3
117,117,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SANTO ANDRE (ELCLOR),3
120,120,CAJAMAR (VAU NOVO) - SAO PAULO  (PERUS),3
120PR1,120PR1,CAJAMAR (LAGO AZUL) - SAO PAULO (PERUS),3
121,121,GUARULHOS (TERMINAL METROPOLITANO TABOAO) - SAO PAULO (PENHA),3
121,121,GUARULHOS (TERMINAL METROPOLITANO TABOAO) - SAO PAULO (PENHA),3
122,122,BARUERI (PETROBRAS) - OSASCO (VILA YARA),3
123,123,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SAO PAULO (TERMINAL SACOMA),3
124,124,EMBU DAS ARTES (JARDIM SANTO EDUARDO) - SAO PAULO (METRO VILA SONIA),3
125,125,EMBU DAS ARTES (JARDIM SAO MARCOS) - SAO PAULO (METRO VILA SONIA),3
125BI1,125BI1,EMBU DAS ARTES (JARDIM NOSSA SENHORA DE FATIMA) - SAO PAULO (METRO VILA SONIA),3
128,128,EMBU DAS ARTES (JARDIM DO COLEGIO) - SAO PAULO (METRO VILA SONIA),3
130,130,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA) - OSASCO (VILA YARA),3
134,134,BARUERI (PARQUE VIANA) - OSASCO (CENTRO),3
137,137,GUARULHOS (JARDIM FORTALEZA) - SAO PAULO (METRO ARMENIA),3
138,138,OSASCO (MUNHOZ JUNIOR) - SAO PAULO (METRO VILA MADALENA),3
139,139,SAO PAULO (SAO MIGUEL PAULISTA) - GUARULHOS (TERMINAL METROPOLITANO CECAP),3
140,140,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),3
141,141,SANTA ISABEL (MONTE SERRAT) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
145,145,SUZANO (CIDADE EDSON) - SAO PAULO (ESTACAO CPTM ITAIM PAULISTA),3
147,147,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SAO BERNARDO DO CAMPO (JARDIM JOAO DE BARRO),3
148,148,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SAO BERNARDO DO CAMPO (JARDIM LEBLON),3
148EX1,148EX1,SAO BERNARDO DO CAMPO (UFABC) - SAO BERNARDO DO CAMPO (AVENIDA KENNEDY),3
149,149,SAO CAETANO DO SUL (TERMINAL RODOVIARIO DOUTOR NICOLAU DELIC) - SAO BERNARDO DO CAMPO (VILA SAO JOSE),3
151,151,SANTO ANDRE (JARDIM CAMBUI) - SAO PAULO (FABRICA TROL),3
152,152,SAO BERNARDO DO CAMPO (AREA VERDE) - SAO PAULO (TERMINAL SACOMA),3
152DV1,152DV1,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - SAO PAULO (TERMINAL SACOMA),3
153,153,SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II) - SAO PAULO (TERMINAL SACOMA),3
154,154,SAO BERNARDO DO CAMPO (COOPERATIVA) - SAO PAULO (TERMINAL SACOMA),3
156,156,DIADEMA (ELDORADO) - SAO BERNARDO DO CAMPO (BAETA NEVES),3
156BI1,156BI1,DIADEMA (ELDORADO) - SAO BERNARDO DO CAMPO (BAETA NEVES),3
157,157,MAUA (SILVIA MARIA) - SANTO ANDRE (TERMINAL RODOVIARIO DE PREFEITO SALADINO),3
158,158,MAUA (JARDIM ZAIRA) - SAO PAULO (TERMINAL SACOMA),3
158BI1,158BI1,MAUA (JARDIM ZAIRA) - SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),3
160,160,MAUA (JARDIM ADELINA) - SAO PAULO (TERMINAL SACOMA),3
160EX1,160EX1,MAUA  (JARDIM ITAPEVA) - SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),3
163,163,GUARULHOS (JD. PALMIRA - PARQUE CONTINENTAL) - SAO PAULO (METRO TUCURUVI),3
165,165,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
165BI1,165BI1,SANTO ANDRE (PARQUE REPRESA BILLINGS) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
165EX1,165EX1,RIO GRANDE DA SERRA (CENTRO) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
166,166,ARUJA (CENTRO) - SAO PAULO (METRO ARMENIA),3
166BI1,166BI1,GUARULHOS (JARDIM ALAMO) - SAO PAULO (METRO ARMENIA),3
167,167,GUARULHOS (VILA CARMELA) - SAO PAULO (METRO ARMENIA),3
167PR1,167PR1,GUARULHOS (PARQUE RESIDENCIAL BAMBI) - SAO PAULO (METRO ARMENIA),3
170,170,SAO CAETANO DO SUL (ESTACAO) - SAO PAULO (JARDIM TIETE),3
171,171,SAO CAETANO DO SUL (ESTACAO) - SAO PAULO (VILA INDUSTRIAL),3
173,173,SANTO ANDRE (JARDIM SANTA CRISTINA) - SAO PAULO (JARDIM PLANALTO),3
175,175,GUARULHOS (COCAIA) - SAO PAULO (METRO ARMENIA),3
177,177,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),3
178,178,EMBU DAS ARTES (JARDIM VAZAME) - SAO PAULO (METRO CAMPO LIMPO),3
178BI1,178BI1,EMBU DAS ARTES (JARDIM NOSSA SENHORA DE FATIMA) - SAO PAULO (METRO CAMPO LIMPO),3
180,180,OSASCO (JARDIM PRIMEIRO DE MAIO) - SAO PAULO (LAPA),3
181,181,CARAPICUIBA (PARQUE SANTA TEREZA) - SAO PAULO (LAPA),3
182,182,SAO BERNARDO DO CAMPO (ACAMPAMENTO DOS ENGENHEIROS) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
187,187,MAIRIPORA (ESPACO PAULO AMAURY SERRALVO) - SAO PAULO (CAMPOS ELISEOS),3
190,190,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - SAO PAULO (METRO BUTANTA),3
191,191,TABOAO DA SERRA (CONDOMINIO JOAO CANDIDO) - SAO PAULO (METRO VILA SONIA),3
193,193,EMBU DAS ARTES (JARDIM SANTA TEREZA) - SAO PAULO (METRO CAPAO REDONDO),3
194,194,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SANTO ANDRE (CATA PRETA),3
195,195,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),3
196,196,SAO BERNARDO DO CAMPO (PARQUE SELECTA) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),3
197,197,FRANCISCO MORATO (PARQUE PAULISTA) - SAO PAULO (LAPA),3
198,198,CAIEIRAS (LARANJEIRAS) - SAO PAULO (LAPA),3
199,199,FRANCO DA ROCHA (JARDIM LUCIANA) - SAO PAULO (PERUS),3
19CELESTE,19CELESTE,BOSQUE MAIA (GUARULHOS) - ANHANGABAU,3
200,200,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
201,201,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
202,202,OSASCO (JARDIM ADALGISA) - SAO PAULO (PIRITUBA),3
203,203,OSASCO (BEL JARDIM) - SAO PAULO (LAPA),3
204,204,OSASCO (MUNHOZ JUNIOR) - SAO PAULO (LAPA),3
206,206,GUARAREMA (CENTRO) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
208,208,GUARAREMA (TERMINAL RODOVIARIO DE GUARAREMA) - MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),3
210,210,BIRITIBA MIRIM (CASA GRANDE) - MOGI DAS CRUZES (CENTRO),3
211,211,OSASCO (VILA MENCK) - SAO PAULO (PINHEIROS),3
212,212,DIADEMA (JARDIM SAPOPEMA) - SAO PAULO (TERMINAL SACOMA),3
213,213,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - OSASCO (TERMINAL LARGO DE OSASCO),3
214,214,SUZANO (CENTRO) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
214VP1,214VP1,ITAQUAQUECETUBA (RANCHO GRANDE) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
215,215,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SUZANO (CENTRO),3
216,216,FRANCISCO MORATO (JARDIM DA ALEGRIA) - FRANCO DA ROCHA (CENTRO),3
217,217,SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
218,218,SAO BERNARDO DO CAMPO (AREA VERDE) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
218EX1,218EX1,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - SAO PAULO (GLICERIO),3
219,219,SANTA ISABEL (MONTE SERRAT) - SAO PAULO (METRO ARMENIA),3
219BI1,219BI1,SANTA ISABEL (MONTE SERRAT) - GUARULHOS (CENTRO),3
223,223,CARAPICUIBA (COHAB V) - OSASCO (VILA YARA),3
226,226,EMBU-GUACU (CHACARA FLORIDA) - SAO PAULO (TERMINAL GRAJAU),3
227,227,GUARULHOS (JARDIM LEBLON) - SAO PAULO (METRO ARMENIA),3
227DV1,227DV1,GUARULHOS (JARDIM LEBLON) - SAO PAULO (METRO ARMENIA),3
228,228,BARUERI (ALPHAVILLE 3 / BRADESCO) - SAO PAULO (LAPA),3
229,229,OSASCO (JARDIM ACUCARA) - SAO PAULO (LAPA),3
230,230,BARUERI (ALPHAVILLE) - OSASCO (VILA YARA),3
231,231,OSASCO (JARDIM ELVIRA) - SAO PAULO (METRO ARMENIA),3
231BI1,231BI1,OSASCO (MUNHOZ JUNIOR) - SAO PAULO (METRO ARMENIA),3
236,236,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA) - SAO PAULO (TERMINAL SACOMA),3
237,237,ITAPECERICA DA SERRA (JARDIM SAO PEDRO) - SAO PAULO (METRO CAPAO REDONDO),3
238,238,SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),3
239,239,ITAPECERICA DA SERRA (JARDIM SAO MARCOS) - COTIA (TERMINAL METROPOLITANO COTIA),3
240,240,MAIRIPORA (ESPACO PAULO AMAURY SERRALVO) - SAO PAULO (TERMINAL RODOVIARIO DO TIETE),3
241,241,TABOAO DA SERRA (PARQUE JACARANDA) - SAO PAULO (METRO VILA SONIA),3
242,242,ITAQUAQUECETUBA (JARDIM PINHEIRINHO) - SAO PAULO (METRO CARRAO),3
242BI1,242BI1,ITAQUAQUECETUBA (PEQUENO CORACAO) - SAO PAULO (METRO CARRAO),3
244,244,OSASCO (CENTRO) - COTIA (RODOVIA RAPOSO TAVARES - KM 21),3
244BI1,244BI1,OSASCO (VILA YARA) - COTIA (RODOVIA RAPOSO TAVARES SP-270 - KM 21),3
244VP1,244VP1,OSASCO (CIDADE DE DEUS) - COTIA (RODOVIA RAPOSO TAVARES - SP 270 - KM 21),3
245,245,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - SAO PAULO (METRO CAMPO LIMPO),3
246,246,SANTANA DE PARNAIBA (JARDIM SAO LUIS) - OSASCO (VILA YARA),3
246BI1,246BI1,SANTANA DE PARNAIBA (REFUGIO DOS BANDEIRANTES) - OSASCO (VILA YARA),3
246EX1,246EX1,SANTANA DE PARNAIBA (JARDIM SAO LUIS) - BARUERI (CENTRO),3
247,247,BARUERI (ALDEIA DA SERRA) - COTIA (TERMINAL METROPOLITANO DE COTIA),3
247EX1,247EX1,JANDIRA (JARDIM ALVORADA) - COTIA (TERMINAL METROPOLITANO DE COTIA),3
247VP2,247VP2,BARUERI (ALDEIA DA SERRA) - COTIA  (JARDIM ROSEMARY),3
248,248,GUARULHOS (PARQUE SANTOS DUMONT) - SAO PAULO (METRO PENHA),3
249,249,GUARULHOS (JARDIM PAULISTA) - SAO PAULO (METRO PENHA),3
250,250,GUARULHOS (COCAIA) - SAO PAULO (METRO PENHA),3
252,252,GUARULHOS (JARDIM CUMBICA) - SAO PAULO (METRO CARRAO),3
253,253,GUARULHOS (JARDIM PARAISO) - SAO PAULO (METRO PENHA),3
254,254,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
254DV1,254DV1,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
255,255,DIADEMA (JARDIM PADRE ANCHIETA) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
256,256,COTIA (CAUCAIA DO ALTO) - COTIA (PORTAO),3
257,257,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO) - SAO PAULO (METRO TATUAPE),3
258,258,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO) - SAO PAULO (AEROPORTO DE CONGONHAS),3
260,260,BARUERI (ALPHAVILLE) - COTIA (KM 30 RODOVIA RAPOSO TAVARES),3
260EX1,260EX1,BARUERI (ALPHAVILLE) - COTIA (KM 30 RODOVIA RAPOSO TAVARES),3
261,261,SANTANA DE PARNAIBA (VARZEA DE SOUZA) - SAO PAULO (LAPA),3
262,262,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE) - SAO PAULO (ARTUR ALVIM),3
263,263,CARAPICUIBA (JARDIM NOVO HORIZONTE) - OSASCO (VILA YARA),3
264,264,SANTANA DE PARNAIBA (PARQUE SANTANA) - SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),3
264BI1,264BI1,BARUERI (JARDIM CALIFORNIA) - SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),3
265,265,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE - LESTE) - SP (CONJUNTO HABITACIONAL TEOTONIO VILELA),3
266,266,GUARULHOS (INOCOOP) - SAO PAULO (METRO ARMENIA),3
266DV1,266DV1,GUARULHOS (INOCOOP) - SAO PAULO (METRO ARMENIA),3
269,269,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL) - SAO PAULO (METRO CORINTHIANS-ITAQUERA),3
273,273,SUZANO (CENTRO) - ARUJA (PARQUE RODRIGO BARRETO),3
277,277,SANTA ISABEL (MONTE SERRAT) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
278,278,OSASCO (CENTRO) - GUARULHOS (TERMINAL URBANO GUARULHOS),3
279,279,DIADEMA (TERMINAL METROPOLITANO DE DIADEMA) - SAO PAULO (METRO SAO JUDAS),3
280,280,OSASCO (CENTRO) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
280BI1,280BI1,SAO PAULO (CIDADE UNIVERSITARIA) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
281,281,MAIRIPORA (ESPACO PAULO AMAURY SERRALVO) - SAO PAULO (PEDRA BRANCA),3
283,283,CARAPICUIBA (CIDADE ARISTON) - OSASCO (VILA YARA),3
283VP1,283VP1,CARAPICUIBA (CIDADE ARISTON) - OSASCO (CENTRO),3
284,284,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE),3
285,285,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS) - SAO BERNARDO DO CAMPO  (TERMINAL METROPOLITANO FERRAZOPOLIS),3
286,286,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE) - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),3
287,287,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
287PIR,287PIR,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE) - DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),3
287UBUS,287UBUS,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
288,288,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),3
288PIR,288PIR,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),3
289,289,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA) - SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),3
290,290,DIADEMA (TERMINAL METROPOLITANO DIADEMA) - SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),3
291,291,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA) - SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),3
291BI1,291BI1,ITAPEVI (JARDIM BELA VISTA) - SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),3
